,movie_id,title,cast,director,editor,production_design,art_direction,costume_design,original_music_composer,director_of_photography
10,1452,Superman Returns,"Brandon Routh,Kevin Spacey,Kate Bosworth,James Marsden,Parker Posey,Frank Langella,Sam Huntington,Eva Marie Saint,Marlon Brando,Kal Penn,Tristan Lake Leabu,David Fabrizio,Ian Roberts,Vincent Stone,Jack Larson,Noel Neill,Keegan Joyce,Jordana Beatty",Bryan Singer,John Ottman,Guy Hendrix Dyas,Unknown,Unknown,John Ottman,Newton Thomas Sigel
11,10764,Quantum of Solace,"Daniel Craig,Olga Kurylenko,Mathieu Amalric,Judi Dench,Giancarlo Giannini,Gemma Arterton,Jeffrey Wright,David Harbour,Jesper Christensen,Anatole Taubman,Rory Kinnear,Tim PigottSmith,Joaquín Cosio,Glenn Foster,Paul Ritter,Stana Katic,Lucrezia Lante della Rovere,Neil Jackson,Oona Chaplin,Rachel McDowall,Gustavo Nanez,Mark Wakeling,Sarah Hadland,David Decio,Aaron King,Alexandra Prusa,Brandon Jovanovich,Alexandre Krawetz,Fernando Guillén Cuervo,Jesús Ochoa,Simon Kassianides,Brendan OHea",Marc Forster,Richard Pearson,Dennis Gassner,Unknown,Louise Frogley,Unknown,Roberto Schaefer
12,58,Pirates of the Caribbean Dead Mans Chest,"Johnny Depp,Orlando Bloom,Keira Knightley,Stellan Skarsgård,Bill Nighy,Jack Davenport,Kevin McNally,Jonathan Pryce,Lee Arenberg,Mackenzie Crook,Tom Hollander,Naomie Harris,David Bailie,Martin Klebba,David Schofield,Alex Norton,Geoffrey Rush,Dermot Keaney,Andy Beckwith,Clive Ashborn,Reggie Lee,Christopher Adamson,Jonathan Linsley,John Boswall,Max Baker,Steve Speirs,Lauren Maher,Vanessa Branch,Luke de Woolfson,Jonathan Kite,HoKwan Tse,Peter Donald Badalamenti II,Christopher S Capp",Gore Verbinski,Stephen E. Rivkin,Rick Heinrichs,Unknown,Unknown,Hans Zimmer,Dariusz Wolski
13,57201,The Lone Ranger,"Johnny Depp,Armie Hammer,William Fichtner,Helena Bonham Carter,James Badge Dale,Tom Wilkinson,Ruth Wilson,Barry Pepper,James Frain,Mason Cook,Matt OLeary,Leon Rippy,Harry Treadaway,Damon Herriman,W Earl Brown,Gil Birmingham,Saginaw Grant,Stephen Brodie,Matthew Page,Nick W Nicholson,Bryant Prince,JD Cullum,Joaquín Cosio,Timothy V Murphy,Damon Carney,Kevin Wiggins,Chad Brummett,Robert Baker,Lew Temple,Stephen Root,Randy Oglesby,Brad Greenquist,Rance Howard,Leonard Earl Howze,Travis Hammer,Steve Corona,Jack Axelrod,Christopher Hagen,Freda Foh Shen,Margaret Bowman,Luz P Mendez,Laina Loucks,Devon J Adams,Desirae Anslover,Charlotte Cormier,Megan Pribyl,Briana Van Schuyver,Julie Stracener,Chad Randall,Jason E Hill,Beth Bailey,Joanne Camp,Bob Rumnock,Tait Fletcher,Alex Knight,Argos MacCallum,Pokey Lafarge,Joey Glynn,Adam Hoskins,Ryan Koenig",Gore Verbinski,Craig Wood,Jess Gonchor,Unknown,Penny Rose,Hans Zimmer,Bojan Bazelli
14,49521,Man of Steel,"Henry Cavill,Amy Adams,Michael Shannon,Kevin Costner,Diane Lane,Russell Crowe,Laurence Fishburne,Antje Traue,Christopher Meloni,Jadin Gould,Tahmoh Penikett,Ayelet Zurer,Richard Schiff,Dylan Sprayberry,Michael Kelly,Carla Gugino,Richard Cetrone,Mackenzie Gray,Julian Richings,Mary Black,Samantha Jo,Rebecca Buller,Christina Wren,David Lewis,Doug Abrahams,Brad Kelly,Alessandro Juliani,Jack Foley,Robert Gerdisch,Harry Lennix,Jacqueline Scislowski,Sean Campbell,Raj Lal",Zack Snyder,David Brenner,Alex McDowell,Kim Sinclair,Michael Wilkinson,Hans Zimmer,Amir Mokri
15,2454,The Chronicles of Narnia Prince Caspian,"Ben Barnes,William Moseley,Anna Popplewell,Skandar Keynes,Georgie Henley,Sergio Castellitto,Alicia Borrachero,Peter Dinklage,Warwick Davis,Vincent Grass,Pierfrancesco Favino,Damián Alcázar,Simón Andreu,Predrag Bjelac,Shane Rangi,Cornell John,Liam Neeson,Ken Stott,Tilda Swinton,Eddie Izzard,Klára Issová",Andrew Adamson,Sim Evan-Jones,Roger Ford,Jules Cook,Isis Mussenden,Harry Gregson-Williams,Karl Walter Lindenlaub
16,24428,The Avengers,"Robert Downey Jr,Chris Evans,Mark Ruffalo,Chris Hemsworth,Scarlett Johansson,Jeremy Renner,Tom Hiddleston,Clark Gregg,Cobie Smulders,Stellan Skarsgård,Samuel L Jackson,Gwyneth Paltrow,Paul Bettany,Jenny Agutter,Walter Perez,Powers Boothe,Stan Lee,Arthur Darbinyan,Donald Li,Ashley Johnson,Harry Dean Stanton,Alicia Sixtos,Dieter Riesle,Jamie McShane,Jeff Wolfe,Jerzy Skolimowski,Maximiliano Hernández,Alexis Denisof,James Eckhouse,Enver Gjokaj,Damion Poitier,Tina Benko,Kirill Nikiforov,Mlaah Kaur Singh,Rashmi Rustagi,Warren Kole,Jesse Garcia,Kenneth Tigar,Josh Cowdery,Katsumi Komatsu,Yumiko Komatsu,Momoko Komatsu,Robert Clohessy,Fernanda Toker,Andrea Vecchio,Robin Swoboda,Brent McGee,Michael Zhang,WilliamChristopher Stephens,Kelley Robins,Romy Rosemont,Pat Kiernan,Thomas Roberts,Jillian Morgese,Catherine Anderson,Ricardo Andres,Logan Bennett,Mayank Bhatter,Sharita Bone,Jason Botsford,Mary Kate Campbell,Gene N Chavez,Layla Cushman,Robert Dean,Rick Dremann,Jeffrey Feingold,Lou Ferrigno,Rod Fielder,Eric Frank,Israel Hall,Carmen Dee Harris,Alexander Christopher Jones,Mike Karban,Demoine Kinney,Andrew Knode,Annette Lawless,Kimberly J Mahoney,Todd Manes,Jorge Mardel,Tiffany Sander McKenzie,Michael McMillan,Sean Meehan,Joti Nagra,Holly Neelie,Caleb Daniel Noal,Joseph OBrien,Jeremy Orr,Nate Paige,Martin Palmer,Maria Perossa,Caleb Pieplow,Alexander Daniel Pimentel,Frank Powers,Jaime Powers,Brent Reichert,Kelly Ruble,Gina Sarno,Robert B Schneider IV,Jeff Seich,Christina Shaffer,Alonda Shevette,Douglas Slygh,Colin Strause,Robert P Thitoff,George Thomas,Shane Thompson,Jerry Lee Tucker,Tai Urban,Chris Vaina,Sandra Weston,Seth Zielicke,Alex DeCourville,Debbie Scaletta,AndreaNichole Olivas,Tina Grimm",Joss Whedon,Jeffrey Ford,James Chinlund,Randy Moore,Alexandra Byrne,Alan Silvestri,Seamus McGarvey
17,1865,Pirates of the Caribbean On Stranger Tides,"Johnny Depp,Penélope Cruz,Ian McShane,Kevin McNally,Geoffrey Rush,Sam Claflin,Astrid BergèsFrisbey,Stephen Graham,Greg Ellis,Damian OHare,Óscar Jaenada,Richard Griffiths,Keith Richards,Gemma Ward,Judi Dench,Ian Mercer,Robbie Kay,Christopher Fairbank,Yuki Matsuzaki,Steve Evets,Bronson Webb,Derek Mears,Deobia Oparei,Sebastian Armesto,Anton Lesser,Roger Allam,Paul Bazely,Richard Thomson,Danny Le Boyer,Alan J UtleyMoore,Luke Roberts,Emilia Jones,Sanya Hughes,LeJon,Siegfried Peters",Rob Marshall,David Brenner,John Myhre,Unknown,Penny Rose,Hans Zimmer,Dariusz Wolski
18,41154,Men in Black 3,"Will Smith,Tommy Lee Jones,Josh Brolin,Michael Stuhlbarg,Emma Thompson,Jemaine Clement,Nicole Scherzinger,Alice Eve,Bill Hader,Michael Chernus,David Rasche,Keone Young,Cayen Martin,Mike Colter,Mela Hudson,Will Arnett,Kelvin Davis,Dan Bittner",Barry Sonnenfeld,Wayne Wahrman,Bo Welch,Luke Freeborn,Mary E. Vogt,Danny Elfman,Bill Pope
19,122917,The Hobbit The Battle of the Five Armies,"Martin Freeman,Ian McKellen,Richard Armitage,Ken Stott,Graham McTavish,William Kircher,James Nesbitt,Stephen Hunter,Dean OGorman,Aidan Turner,John Callen,Peter Hambleton,Jed Brophy,Mark Hadlow,Adam Brown,Orlando Bloom,Evangeline Lilly,Lee Pace,Cate Blanchett,Hugo Weaving,Christopher Lee,Ian Holm,Mikael Persbrandt,Sylvester McCoy,Luke Evans,Stephen Fry,John Bell,Ryan Gage,Peggy Nesbitt,Mary Nesbitt,Manu Bennett,John Tui,Billy Connolly,Benedict Cumberbatch,Kelly Kilgour,Sarah Peirse,Nick Blake,Simon London,Conan Stevens,Allan Smith,Miranda Harcourt,Thomasin McKenzie",Peter Jackson,Jabez Olssen,Dan Hennah,Andy McLaren,Richard Taylor,Howard Shore,Andrew Lesnie
20,1930,The Amazing SpiderMan,"Andrew Garfield,Emma Stone,Rhys Ifans,Denis Leary,Campbell Scott,Irrfan Khan,Martin Sheen,Sally Field,Max Charles,Chris Zylka,Embeth Davidtz,Leif Gantvoort,Hannah Marks,Kelsey Asbille,C Thomas Howell,Stan Lee,Michael Massee,Michael Papajohn,Kari Coleman,Charlie DePew,Skyler Gisondo,Jacob Rodier,Jake Keiffer,Kevin McCorkle,Barbara Eve Harris,Danielle Burgio,Michael Barra,Andy Pessoa,Andy Gladbach,Ring HendricksTellefsen,Tom Waite,Keith Campbell,Steve DeCastro,James Chen,Alexander Bedria,John Burke,Jill Flint,Mark Daugherty,Milton González,Vincent Laresca,Damien Lemon,Ty Upshaw,Tia Texada,Jay Caputo,Terry Bozeman,Jennifer Lyons,Amber Stevens,Zoey Deutch,Jody CosgroveKao,Max Bogner,Ethan Cohn,Miles Elliot,Miranda LaDawn Hill,Amanda MacDonald,Maury Morgan,Amy Novondo,Kristin Quick",Marc Webb,Pietro Scalia,J. Michael Riva,Page Buckner,Kym Barrett,James Horner,John Schwartzman
21,20662,Robin Hood,"Russell Crowe,Cate Blanchett,Max von Sydow,William Hurt,Mark Strong,Oscar Isaac,Danny Huston,Eileen Atkins,Mark Addy,Matthew Macfadyen,Kevin Durand,Scott Grimes,Alan Doyle,Douglas Hodge,Léa Seydoux,Jonathan Zaccaï,Robert Pugh,Gerard McSorley,Velibor Topic,Ciaran Flynn,Simon McBurney,Mark Lewis Jones,Bronson Webb,Denis Ménochet,Ruby Bentall,Jessica Raine,John Nicholas,Roy Holder,Denise Gough,Luke Evans,Arthur Darvill,Giannina Facio,Ralph Ineson,Jake Curran",Ridley Scott,Pietro Scalia,Arthur Max,Unknown,Janty Yates,Marc Streitenfeld,John Mathieson
22,57158,The Hobbit The Desolation of Smaug,"Martin Freeman,Ian McKellen,Richard Armitage,Ken Stott,Graham McTavish,William Kircher,James Nesbitt,Stephen Hunter,Dean OGorman,Aidan Turner,Benedict Cumberbatch,Lee Pace,Luke Evans,Evangeline Lilly,Orlando Bloom,Mikael Persbrandt,Manu Bennett,Stephen Fry,John Bell,Sylvester McCoy,Terry Notary,Peter Hambleton,Cate Blanchett,Stephen Colbert,Jed Brophy,Sarah Peirse,Mary Nesbitt,Peggy Nesbitt,Mark Hadlow,John Callen,Adam Brown,Ben Mitchell",Peter Jackson,Jabez Olssen,Dan Hennah,Andy McLaren,Richard Taylor,Howard Shore,Andrew Lesnie
23,2268,The Golden Compass,"Dakota Blue Richards,Nicole Kidman,Daniel Craig,Sam Elliott,Eva Green,Freddie Highmore,Ian McKellen,Ben Walker,Ian McShane,Kristin Scott Thomas,Kathy Bates,Jim Carter,Tom Courtenay,Christopher Lee,Simon McBurney,Jack Shepherd,Magda Szubanski,Derek Jacobi,Clare Higgins,Charlie Rowe,Steven Loton,Michael Antoniou,Mark Mottram,Hattie Morahan,Jason Watkins,Sam Hoare,Brian Nickels,Thomas Arnold,Helen Soraya",Chris Weitz,Anne V. Coates,Dennis Gassner,Richard L. Johnson,Ruth Myers,Alexandre Desplat,Henry Braham
